acronym,full_name,category,description
AGI,Artificial General Intelligence,AI/ML,Hypothetical AI with human-level reasoning across any domain.
AI,Artificial Intelligence,AI/ML,"Simulation of human intelligence by machines, including learning, reasoning, and self-correction."
AIOps,AI for IT Operations,AI/ML,"Application of ML to automate and enhance IT operations, anomaly detection, and incident management."
API,Application Programming Interface,AI/ML,Interface enabling programmatic access to AI model inference endpoints.
ASR,Automatic Speech Recognition,AI/ML,Technology that converts spoken language into written text.
AUC,Area Under the Curve,AI/ML,Aggregate measure of classifier performance across all classification thresholds.
AutoML,Automated Machine Learning,AI/ML,"Automation of the end-to-end ML pipeline including data prep, model selection, and hyperparameter tuning."
BERT,Bidirectional Encoder Representations from Transformers,AI/ML,Transformer model pre-trained on masked language modeling for deep bidirectional context.
BLEU,Bilingual Evaluation Understudy,AI/ML,N-gram precision-based metric for evaluating machine-translation quality.
BLEU,Bilingual Evaluation Understudy,AI/ML,Metric comparing n-gram overlap between generated and reference translations.
BPE,Byte-Pair Encoding,AI/ML,Subword tokenization algorithm that iteratively merges frequent byte pairs.
BoW,Bag of Words,AI/ML,Text representation model that treats documents as unordered word-frequency vectors.
CART,Classification and Regression Trees,AI/ML,Decision-tree algorithm supporting both categorical and continuous target variables.
CBOW,Continuous Bag of Words,AI/ML,Word2vec training objective that predicts a word from its surrounding context.
CER,Character Error Rate,AI/ML,Edit-distance-based metric for evaluating OCR and speech recognition at character level.
CNN,Convolutional Neural Network,AI/ML,Neural network specialized for grid-like data such as images.
COT,Chain of Thought,AI/ML,Prompting technique that elicits step-by-step reasoning in LLM outputs.
CRF,Conditional Random Field,AI/ML,Probabilistic sequence-modeling framework for labeling structured data.
CV,Computer Vision,AI/ML,AI field enabling machines to interpret and understand visual information from the world.
CatBoost,Categorical Boosting,AI/ML,Gradient-boosting library with native support for categorical features.
DAG,Directed Acyclic Graph,AI/ML,"Graph structure with directed edges and no cycles, used for probabilistic graphical models and ML pipelines."
DL,Deep Learning,AI/ML,Multi-layered neural networks that learn hierarchical representations from data.
DNN,Deep Neural Network,AI/ML,Neural network with multiple hidden layers between input and output.
DPO,Direct Preference Optimization,AI/ML,RLHF alternative that directly optimizes a policy from preference data without an explicit reward model.
DQN,Deep Q-Network,AI/ML,Deep neural network approximating the Q-value function for reinforcement learning.
EM,Expectation-Maximization,AI/ML,Iterative method for finding maximum-likelihood estimates with latent variables.
F1,F1 Score,AI/ML,"Harmonic mean of precision and recall, used for imbalanced classification evaluation."
FPGA,Field-Programmable Gate Array,AI/ML,Reconfigurable semiconductor device used for low-latency ML inference acceleration.
GAN,Generative Adversarial Network,AI/ML,Two-network architecture (generator + discriminator) that learns to produce realistic data.
GPT,Generative Pre-trained Transformer,AI/ML,Decoder-only transformer model pre-trained on large text corpora for generative tasks.
GPU,Graphics Processing Unit,AI/ML,"Parallel processor originally for graphics, now widely used for ML training and inference."
GRU,Gated Recurrent Unit,AI/ML,Simplified RNN gating architecture with fewer parameters than LSTM.
HMM,Hidden Markov Model,AI/ML,Statistical model for systems with hidden states that generate observable outputs.
IoU,Intersection over Union,AI/ML,Evaluation metric measuring overlap between predicted and ground-truth bounding boxes.
KNN,K-Nearest Neighbors,AI/ML,Non-parametric lazy-learning algorithm that classifies by majority of k nearest points.
LIME,Local Interpretable Model-agnostic Explanations,AI/ML,Technique that approximates model behavior locally with an interpretable surrogate.
LLM,Large Language Model,AI/ML,Transformer-based model with billions of parameters trained on vast text data.
LSTM,Long Short-Term Memory,AI/ML,RNN variant with gating mechanisms that mitigate the vanishing-gradient problem.
LightGBM,Light Gradient Boosting Machine,AI/ML,Fast gradient-boosting framework using histogram-based leaf-wise tree growth.
LoRA,Low-Rank Adaptation,AI/ML,Parameter-efficient fine-tuning method that injects trainable low-rank matrices into frozen weights.
MAB,Multi-Armed Bandit,AI/ML,Online learning framework balancing exploration of new options and exploitation of known rewards.
MAP,Mean Average Precision,AI/ML,Average of precision scores at each relevant item rank across queries.
MCMC,Markov Chain Monte Carlo,AI/ML,Class of sampling algorithms for approximating complex probability distributions.
MDP,Markov Decision Process,AI/ML,Mathematical framework for modeling sequential decision-making under uncertainty.
ML,Machine Learning,AI/ML,Algorithms that improve through experience without being explicitly programmed for every task.
MLE,Machine Learning Engineer,AI/ML,"Role focused on building, deploying, and maintaining machine learning systems in production."
MLOps,Machine Learning Operations,AI/ML,"Practices for deploying, monitoring, and maintaining ML models in production."
MLP,Multilayer Perceptron,AI/ML,Feedforward neural network with at least one hidden layer and non-linear activation.
MMLU,Massive Multitask Language Understanding,AI/ML,Benchmark covering 57 subjects to measure LLM knowledge and reasoning.
MSE,Mean Squared Error,AI/ML,Average of squared differences between predicted and actual values.
MoE,Mixture of Experts,AI/ML,Architecture where different sub-networks (experts) are activated conditionally per input.
NCE,Noise Contrastive Estimation,AI/ML,Parameter estimation method that distinguishes observed data from artificial noise.
NLG,Natural Language Generation,AI/ML,Automated production of human-readable text from structured data.
NLP,Natural Language Processing,AI/ML,AI subfield focused on interaction between computers and human language.
NLU,Natural Language Understanding,AI/ML,Machine comprehension of human language meaning and intent.
NMS,Non-Maximum Suppression,AI/ML,Post-processing technique removing duplicate detections in object detection pipelines.
NPU,Neural Processing Unit,AI/ML,Specialized processor designed for accelerating neural network inference.
OCR,Optical Character Recognition,AI/ML,Conversion of images of printed or handwritten text into machine-encoded text.
ONNX,Open Neural Network Exchange,AI/ML,Interchange format for deep-learning models across different frameworks.
PCA,Principal Component Analysis,AI/ML,Unsupervised dimensionality-reduction technique that maximizes variance along orthogonal components.
PPO,Proximal Policy Optimization,AI/ML,Policy-gradient RL algorithm that constrains update size for stable training.
RAG,Retrieval-Augmented Generation,AI/ML,Hybrid architecture that retrieves relevant documents before generating an answer.
RL,Reinforcement Learning,AI/ML,Learning paradigm where an agent maximizes cumulative reward through environment interaction.
RLHF,Reinforcement Learning from Human Feedback,AI/ML,Fine-tuning approach that uses human preferences as reward signals for RL.
RNN,Recurrent Neural Network,AI/ML,Neural network with internal memory for sequential data processing.
ROC,Receiver Operating Characteristic,AI/ML,Graphical plot of true-positive vs false-positive rate across thresholds.
ROUGE,Recall-Oriented Understudy for Gisting Evaluation,AI/ML,Set of recall-oriented metrics for automatic summarization evaluation.
ReLU,Rectified Linear Unit,AI/ML,"Activation function outputting max(0, x), widely used in deep networks."
SFT,Supervised Fine-Tuning,AI/ML,Training a pre-trained model on labeled task-specific data.
